season,round,circuit,driver,constructor,grid,position,status
2014,1,albert_park,rosberg,mercedes,3,1,Finished
2014,1,albert_park,kevin_magnussen,mclaren,4,2,Finished
2014,1,albert_park,button,mclaren,10,3,Finished
2014,1,albert_park,alonso,ferrari,5,4,Finished
2014,1,albert_park,bottas,williams,15,5,Finished
2014,1,albert_park,hulkenberg,force_india,7,6,Finished
2014,1,albert_park,raikkonen,ferrari,11,7,Finished
2014,1,albert_park,vergne,toro_rosso,6,8,Finished
2014,1,albert_park,kvyat,toro_rosso,8,9,Finished
2014,1,albert_park,perez,force_india,16,10,Finished
2014,1,albert_park,sutil,sauber,13,11,+1 Lap
2014,1,albert_park,gutierrez,sauber,20,12,+1 Lap
2014,1,albert_park,chilton,marussia,17,13,+2 Laps
2014,1,albert_park,jules_bianchi,marussia,18,14,+8 Laps
2014,1,albert_park,grosjean,lotus_f1,22,15,ERS
2014,1,albert_park,maldonado,lotus_f1,21,16,ERS
2014,1,albert_park,ericsson,caterham,19,17,Oil pressure
2014,1,albert_park,vettel,red_bull,12,18,Engine
2014,1,albert_park,hamilton,mercedes,1,19,Engine
2014,1,albert_park,massa,williams,9,20,Collision
2014,1,albert_park,kobayashi,caterham,14,21,Collision
2014,1,albert_park,ricciardo,red_bull,2,22,Disqualified
2014,2,sepang,hamilton,mercedes,1,1,Finished
2014,2,sepang,rosberg,mercedes,3,2,Finished
2014,2,sepang,vettel,red_bull,2,3,Finished
2014,2,sepang,alonso,ferrari,4,4,Finished
2014,2,sepang,hulkenberg,force_india,7,5,Finished
2014,2,sepang,button,mclaren,10,6,Finished
2014,2,sepang,massa,williams,13,7,Finished
2014,2,sepang,bottas,williams,18,8,Finished
2014,2,sepang,kevin_magnussen,mclaren,8,9,+1 Lap
2014,2,sepang,kvyat,toro_rosso,11,10,+1 Lap
2014,2,sepang,grosjean,lotus_f1,15,11,+1 Lap
2014,2,sepang,raikkonen,ferrari,6,12,+1 Lap
2014,2,sepang,kobayashi,caterham,20,13,+1 Lap
2014,2,sepang,ericsson,caterham,22,14,+2 Laps
2014,2,sepang,chilton,marussia,21,15,+2 Laps
2014,2,sepang,ricciardo,red_bull,5,16,Technical
2014,2,sepang,gutierrez,sauber,12,17,Gearbox
2014,2,sepang,sutil,sauber,17,18,Electrical
2014,2,sepang,vergne,toro_rosso,9,19,Power Unit
2014,2,sepang,jules_bianchi,marussia,19,20,Brakes
2014,2,sepang,maldonado,lotus_f1,16,21,Engine
2014,2,sepang,perez,force_india,14,22,Withdrew
2014,3,bahrain,hamilton,mercedes,2,1,Finished
2014,3,bahrain,rosberg,mercedes,1,2,Finished
2014,3,bahrain,perez,force_india,4,3,Finished
2014,3,bahrain,ricciardo,red_bull,13,4,Finished
2014,3,bahrain,hulkenberg,force_india,11,5,Finished
2014,3,bahrain,vettel,red_bull,10,6,Finished
2014,3,bahrain,massa,williams,7,7,Finished
2014,3,bahrain,bottas,williams,3,8,Finished
2014,3,bahrain,alonso,ferrari,9,9,Finished
2014,3,bahrain,raikkonen,ferrari,5,10,Finished
2014,3,bahrain,kvyat,toro_rosso,12,11,Finished
2014,3,bahrain,grosjean,lotus_f1,16,12,Finished
2014,3,bahrain,chilton,marussia,21,13,Finished
2014,3,bahrain,maldonado,lotus_f1,17,14,Finished
2014,3,bahrain,kobayashi,caterham,18,15,Finished
2014,3,bahrain,jules_bianchi,marussia,19,16,+1 Lap
2014,3,bahrain,button,mclaren,6,17,Clutch
2014,3,bahrain,kevin_magnussen,mclaren,8,18,Clutch
2014,3,bahrain,gutierrez,sauber,15,19,Collision
2014,3,bahrain,ericsson,caterham,20,20,Retired
2014,3,bahrain,vergne,toro_rosso,14,21,Retired
2014,3,bahrain,sutil,sauber,22,22,Collision
2014,4,shanghai,hamilton,mercedes,1,1,Finished
2014,4,shanghai,rosberg,mercedes,4,2,Finished
2014,4,shanghai,alonso,ferrari,5,3,Finished
2014,4,shanghai,ricciardo,red_bull,2,4,Finished
2014,4,shanghai,vettel,red_bull,3,5,Finished
2014,4,shanghai,hulkenberg,force_india,8,6,Finished
2014,4,shanghai,bottas,williams,7,7,Finished
2014,4,shanghai,raikkonen,ferrari,11,8,Finished
2014,4,shanghai,perez,force_india,16,9,Finished
2014,4,shanghai,kvyat,toro_rosso,13,10,+1 Lap
2014,4,shanghai,button,mclaren,12,11,+1 Lap
2014,4,shanghai,vergne,toro_rosso,9,12,+1 Lap
2014,4,shanghai,kevin_magnussen,mclaren,15,13,+1 Lap
2014,4,shanghai,maldonado,lotus_f1,22,14,+1 Lap
2014,4,shanghai,massa,williams,6,15,+1 Lap
2014,4,shanghai,gutierrez,sauber,17,16,+1 Lap
2014,4,shanghai,jules_bianchi,marussia,19,17,+1 Lap
2014,4,shanghai,kobayashi,caterham,18,18,+1 Lap
2014,4,shanghai,chilton,marussia,21,19,+2 Laps
2014,4,shanghai,ericsson,caterham,20,20,+2 Laps
2014,4,shanghai,grosjean,lotus_f1,10,21,Gearbox
2014,4,shanghai,sutil,sauber,14,22,Engine
2014,5,catalunya,hamilton,mercedes,1,1,Finished
2014,5,catalunya,rosberg,mercedes,2,2,Finished
2014,5,catalunya,ricciardo,red_bull,3,3,Finished
2014,5,catalunya,vettel,red_bull,15,4,Finished
2014,5,catalunya,bottas,williams,4,5,Finished
2014,5,catalunya,alonso,ferrari,7,6,Finished
2014,5,catalunya,raikkonen,ferrari,6,7,+1 Lap
2014,5,catalunya,grosjean,lotus_f1,5,8,+1 Lap
2014,5,catalunya,perez,force_india,11,9,+1 Lap
2014,5,catalunya,hulkenberg,force_india,10,10,+1 Lap
2014,5,catalunya,button,mclaren,8,11,+1 Lap
2014,5,catalunya,kevin_magnussen,mclaren,14,12,+1 Lap
2014,5,catalunya,massa,williams,9,13,+1 Lap
2014,5,catalunya,kvyat,toro_rosso,12,14,+1 Lap
2014,5,catalunya,maldonado,lotus_f1,22,15,+1 Lap
2014,5,catalunya,gutierrez,sauber,13,16,+1 Lap
2014,5,catalunya,sutil,sauber,16,17,+1 Lap
2014,5,catalunya,jules_bianchi,marussia,18,18,+2 Laps
2014,5,catalunya,chilton,marussia,17,19,+2 Laps
2014,5,catalunya,ericsson,caterham,19,20,+2 Laps
2014,5,catalunya,kobayashi,caterham,20,21,Brakes
2014,5,catalunya,vergne,toro_rosso,21,22,Exhaust
2014,6,monaco,rosberg,mercedes,1,1,Finished
2014,6,monaco,hamilton,mercedes,2,2,Finished
2014,6,monaco,ricciardo,red_bull,3,3,Finished
2014,6,monaco,alonso,ferrari,5,4,Finished
2014,6,monaco,hulkenberg,force_india,11,5,+1 Lap
2014,6,monaco,button,mclaren,12,6,+1 Lap
2014,6,monaco,massa,williams,16,7,+1 Lap
2014,6,monaco,grosjean,lotus_f1,14,8,+1 Lap
2014,6,monaco,jules_bianchi,marussia,21,9,+1 Lap
2014,6,monaco,kevin_magnussen,mclaren,8,10,+1 Lap
2014,6,monaco,ericsson,caterham,22,11,+1 Lap
2014,6,monaco,raikkonen,ferrari,6,12,+1 Lap
2014,6,monaco,kobayashi,caterham,20,13,+2 Laps
2014,6,monaco,chilton,marussia,19,14,+3 Laps
2014,6,monaco,gutierrez,sauber,17,15,Accident
2014,6,monaco,bottas,williams,13,16,Engine
2014,6,monaco,vergne,toro_rosso,7,17,Engine
2014,6,monaco,sutil,sauber,18,18,Accident
2014,6,monaco,kvyat,toro_rosso,9,19,Mechanical
2014,6,monaco,vettel,red_bull,4,20,Turbo
2014,6,monaco,perez,force_india,10,21,Collision
2014,6,monaco,maldonado,lotus_f1,15,22,Withdrew
2014,7,villeneuve,ricciardo,red_bull,6,1,Finished
2014,7,villeneuve,rosberg,mercedes,1,2,Finished
2014,7,villeneuve,vettel,red_bull,3,3,Finished
2014,7,villeneuve,button,mclaren,9,4,Finished
2014,7,villeneuve,hulkenberg,force_india,11,5,Finished
2014,7,villeneuve,alonso,ferrari,7,6,Finished
2014,7,villeneuve,bottas,williams,4,7,Finished
2014,7,villeneuve,vergne,toro_rosso,8,8,Finished
2014,7,villeneuve,kevin_magnussen,mclaren,12,9,Finished
2014,7,villeneuve,raikkonen,ferrari,10,10,Finished
2014,7,villeneuve,perez,force_india,13,11,Collision
2014,7,villeneuve,massa,williams,5,12,Collision
2014,7,villeneuve,sutil,sauber,16,13,+1 Lap
2014,7,villeneuve,gutierrez,sauber,22,14,ERS
2014,7,villeneuve,grosjean,lotus_f1,14,15,Rear wing
2014,7,villeneuve,kvyat,toro_rosso,15,16,Drivetrain
2014,7,villeneuve,hamilton,mercedes,2,17,Brakes
2014,7,villeneuve,kobayashi,caterham,21,18,Suspension
2014,7,villeneuve,maldonado,lotus_f1,17,19,Power Unit
2014,7,villeneuve,ericsson,caterham,20,20,Turbo
2014,7,villeneuve,chilton,marussia,18,21,Collision
2014,7,villeneuve,jules_bianchi,marussia,19,22,Collision
2014,8,red_bull_ring,rosberg,mercedes,3,1,Finished
2014,8,red_bull_ring,hamilton,mercedes,9,2,Finished
2014,8,red_bull_ring,bottas,williams,2,3,Finished
2014,8,red_bull_ring,massa,williams,1,4,Finished
2014,8,red_bull_ring,alonso,ferrari,4,5,Finished
2014,8,red_bull_ring,perez,force_india,15,6,Finished
2014,8,red_bull_ring,kevin_magnussen,mclaren,6,7,Finished
2014,8,red_bull_ring,ricciardo,red_bull,5,8,Finished
2014,8,red_bull_ring,hulkenberg,force_india,10,9,Finished
2014,8,red_bull_ring,raikkonen,ferrari,8,10,Finished
2014,8,red_bull_ring,button,mclaren,11,11,Finished
2014,8,red_bull_ring,maldonado,lotus_f1,13,12,+1 Lap
2014,8,red_bull_ring,sutil,sauber,16,13,+1 Lap
2014,8,red_bull_ring,grosjean,lotus_f1,22,14,+1 Lap
2014,8,red_bull_ring,jules_bianchi,marussia,18,15,+2 Laps
2014,8,red_bull_ring,kobayashi,caterham,19,16,+2 Laps
2014,8,red_bull_ring,chilton,marussia,21,17,+2 Laps
2014,8,red_bull_ring,ericsson,caterham,20,18,+2 Laps
2014,8,red_bull_ring,gutierrez,sauber,17,19,+2 Laps
2014,8,red_bull_ring,vergne,toro_rosso,14,20,Brakes
2014,8,red_bull_ring,vettel,red_bull,12,21,Electrical
2014,8,red_bull_ring,kvyat,toro_rosso,7,22,Suspension
2014,9,silverstone,hamilton,mercedes,6,1,Finished
